Difficulty,Difficulty Score,Time (ms),Backtrack Count,Backtrack Fail Count
Beginner,4300,1.374,43,0
Beginner,4200,0.8608,42,0
Beginner,3900,0.7861,39,0
Beginner,3800,0.6068,38,0
Beginner,4000,1.2041,40,0
Beginner,3900,0.7811,39,0
Beginner,4100,0.8018,41,0
Beginner,3800,0.8292,38,0
Beginner,4200,1.4239,42,0
Beginner,4400,1.2063,44,0
Beginner,4300,1.7103,43,0
Beginner,4200,0.8547,42,0
Beginner,3800,0.6833,38,0
Beginner,3900,0.7356,39,0
Beginner,4200,1.1033,42,0
Beginner,4200,1.0699,42,0
Beginner,3900,0.7467,39,0
Beginner,4100,1.1074,41,0
Beginner,3700,0.9702,37,0
Beginner,4100,0.7097,41,0
Beginner,4100,3.1264,41,0
Beginner,3800,0.8062,38,0
Beginner,3800,0.7955,38,0
Beginner,3800,0.9531,38,0
Beginner,4300,0.8194,43,0
Beginner,4200,1.3346,42,0
Beginner,3700,0.5192,37,0
Beginner,4300,2.8544,43,0
Beginner,3800,0.9687,38,0
Beginner,4000,1.0064,40,0
Beginner,3800,0.981,38,0
Beginner,3700,0.7989,37,0
Beginner,3900,0.8022,39,0
Beginner,4200,0.8424,42,0
Beginner,4100,1.2281,41,0
Beginner,3900,0.6438,39,0
Beginner,4300,0.8156,43,0
Beginner,4200,3.2402,42,0
Beginner,4000,0.5983,40,0
Beginner,4000,0.9649,40,0
Beginner,4300,0.6977,43,0
Beginner,3900,1.2672,39,0
Beginner,3700,0.5615,37,0
Beginner,3900,0.9123,39,0
Beginner,4200,1.1639,42,0
Beginner,4100,0.7998,41,0
Beginner,4400,1.1386,44,0
Beginner,4100,0.9114,41,0
Beginner,3700,0.6404,37,0
Beginner,3800,0.7594,38,0
Beginner,4300,2.5157,43,0
Beginner,4100,0.7232,41,0
Beginner,4300,1.3514,43,0
Beginner,4000,0.7607,40,0
Beginner,4300,1.7623,43,0
Beginner,4400,1.7906,44,0
Beginner,4100,2.1781,41,0
Beginner,4300,1.4006,43,0
Beginner,4200,0.7061,42,0
Beginner,4200,1.2615,42,0
Beginner,3700,0.6665,37,0
Beginner,4400,2.3879,44,0
Beginner,3900,1.1172,39,0
Beginner,3800,0.859,38,0
Beginner,4300,1.5534,43,0
Beginner,3700,0.6308,37,0
Beginner,4200,1.5241,42,0
