Difficulty,Difficulty Score,Time (ms),Recursive Solver Time (ms)
Easy,4700,1.3087,0.802
Easy,4900,23.0365,22.4033
Easy,4800,6.515,5.9198
Easy,5300,27.2783,23.1317
Easy,5200,29.8016,26.7267
Easy,5400,59.7509,58.3501
Easy,4600,2.2428,1.7488
Easy,4600,2.4731,1.9748
Easy,5200,7.1014,6.4633
Easy,4600,0.9256,0.4344
Easy,4700,2.4998,1.9693
Easy,4600,1.0723,0.544
Easy,4400,1.0006,0.5661
Easy,4500,1.1519,0.6854
Easy,4600,1.7819,1.3145
Easy,4700,3.3311,2.81
Easy,4900,4.4468,3.8735
Easy,4800,1.6066,1.0262
Easy,5200,31.6143,29.5313
Easy,5300,8.7681,8.0887
Easy,4400,1.3072,0.8696
Easy,4600,1.4676,0.956
Easy,5200,14.6945,14.0077
Easy,4700,6.5265,5.9948
Easy,4400,1.4894,1.0254
Easy,5000,1.8214,1.2346
Easy,5000,3.0806,2.4621
Easy,4600,1.1009,0.5953
Easy,4500,0.9631,0.4855
Easy,5100,2.0317,1.3799
Easy,4400,0.8992,0.4419
Easy,4400,0.864,0.4129
Easy,4600,2.1344,0.5926
Easy,5300,9.8639,9.1687
Easy,5100,3.4784,2.716
Easy,4400,1.0377,0.5688
Easy,5200,3.5034,2.8669
Easy,5300,7.1092,6.3674
Easy,4900,5.0753,4.4789
Easy,4400,1.2045,0.7361
Easy,4400,10.3683,9.1113
Easy,4500,1.5072,0.9939
Easy,4400,0.9202,0.379
Easy,5300,3.8255,2.9513
Easy,5000,3.7098,2.9271
Easy,4700,5.2636,4.3287
Easy,5200,2.5167,1.6807
Easy,4700,2.1869,1.6239
Easy,5300,42.8882,42.0607
Easy,5000,14.3458,13.6278
Easy,5100,9.158,7.4684
Easy,5100,4.1245,3.4628
Easy,4700,2.521,1.983
Easy,5300,11.778,10.9605
Easy,4600,1.3271,0.7305
Easy,4400,1.2981,0.8342
Easy,4800,2.3789,1.7776
Easy,4400,6.2877,5.7944
Easy,4600,4.0441,3.5246
Easy,4500,1.0362,0.5425
Easy,4900,32.7044,30.1079
Easy,5400,22.8341,20.5464
Easy,5000,1.7515,1.1926
Easy,4600,1.9708,1.4885
Easy,5100,2.8681,2.1986
Easy,4800,3.8714,3.282
Easy,4900,3.0174,2.4559
Easy,5400,6.4041,3.9954
Easy,5400,52.7507,51.0358
Easy,4500,1.3669,0.8791
